id,question,anchor_used,hit_rank,top1_preview,error
155,How did Hamlet become the most traveled cat?,Escaped carrier on a flight and hid,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
156,How long did Hamlet hide?,Seven weeks,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
157,How far had Hamlet traveled by the time he was discovered?,About 373000 miles,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
158,What is the approximate distance in kilometers given for Hamlet?,600000 km,,“I am still considering which of the three strategies would be most beneficial to us. Selling for $50.00 and trying to maximize revenues—or selling for $30.00 and trying to maximiz,
159,What was the most expensive cat described?,Zeus,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
160,What kind of hybrid was Zeus?,Asian Leopard cat and Domestic Shorthair,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
161,What was Zeuss hybrid percentage composition?,90 percent ALC and 10 percent DSH,,Cerebrosoft was founded by Charlotte and two friends after they had graduated from business school. The company is located in the heart of Silicon Valley. Charlotte and her friends,
162,What was Zeuss asking price in pounds?,100000 pounds,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
163,What was the dollar figure listed with Zeuss price?,154000 dollars,,Cerebrosoft was founded by Charlotte and two friends after they had graduated from business school. The company is located in the heart of Silicon Valley. Charlotte and her friends,
164,Why are back paw claws not as sharp as front paw claws?,They do not retract and become worn,,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
165,What kind of coat do cats have that makes it true fur?,An undercoat and an outer coat,3,o the cat can land on its feet. Even cats without a tail have this ability. A cat rubs against people not only to be affectionate but also to mark out its territory with scent glan,
166,How long after birth do kittens ear canals begin to open?,Nine days,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
167,What color are kittens eyes when they first open?,Blue,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
168,Do most cats have eyelashes?,Do,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
169,What is the belief about cats seeing color that the text disputes?,That cats are color blind,1,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
170,What is said about cats ability to meow at other cats?,They almost never meow at another cat,,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
171,Who do cats mostly meow at according to the text?,Humans,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
172,What sounds do cats typically use with other cats instead of meowing?,Spit purr and hiss,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
173,How many vertebrae can a cats back have according to the text?,Up to 53,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
174,How many vertebrae do humans have according to the text?,34,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
175,About what fraction of cat owners think pets can read minds?,About one third,,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
176,Which cat family member does not sheath claws when at rest?,Cheetah,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
177,Name one cat family member distinct from all others mentioned.,Clouded leopard,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
178,Name the other distinct cat family member mentioned.,Cheetah,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
179,What is unique about the cheetah compared to other cats in the text?,It is a running cat,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
180,What is unique about other cats in the text compared to cheetah?,They are leaping cats,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
181,Why are other cats described as leaping cats?,They stalk then leap on prey,,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
182,What is a cat lover called?,Ailurophilia,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
183,In Japan cats are thought to turn into what when they die?,Super spirits,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
184,According to the text why might Japan have that belief?,Body is temporary resting place of spiritual people,,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
185,How many muscles control the outer ear in cats?,32,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
186,How many muscles control the outer ear in humans?,6,1,"for “cat.” The costliest cat ever is named Little Nicky, who cost his owner $50,000. He is a clone of an older cat. A cat usually has about 12 whiskers on each side of its face. A ",
187,How far can cats rotate their ears independently?,180 degrees,2,lor change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left i,
188,Why do kittens sleep so much according to the text?,Growth hormone released only during sleep,,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
189,About how many hairs per square inch do cats have?,About 130000,,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
190,What is the heaviest cat on record mentioned?,Himmy,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
191,How much did Himmy weigh?,Nearly 47 pounds,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
192,Where was Himmy from?,Queensland Australia,7,Cerebrosoft was founded by Charlotte and two friends after they had graduated from business school. The company is located in the heart of Silicon Valley. Charlotte and her friends,
193,How old was Himmy when he died?,10,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
194,What was the oldest cat on record mentioned?,Creme Puff,,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
195,When did Creme Puff live from?,1967 to August 6 2005,6,o the cat can land on its feet. Even cats without a tail have this ability. A cat rubs against people not only to be affectionate but also to mark out its territory with scent glan,
196,How long after her 38th birthday did Creme Puff die?,Three days after,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
197,What is the lightest cat on record mentioned?,Tinker Toy,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
198,How much did Tinker Toy weigh?,1 pound 6 ounces,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
199,What is the tiniest cat on record mentioned?,Mr Pebbles,1,"ently rotate its ears 180 degrees. One reason that kittens sleep so much is because a growth hormone is released only during sleep. Cats have about 130,000 hairs per square inch (2",
200,What was the question situation in Who Wants to be a Millionaire after answering 250000?,Decide to walk away or answer 500000,,# BAMS 517: Assignment 1  (Instruction: Each team should submit one Word or PDF report and one Excel file on Canvas. The Word/PDF report should include your answers to the question,
